year,method,start,end,days,final,return_pct,max_drawdown_pct,min_value,floor_breached,max_shortfall,first_exit,rebalance_count,risky_turnover,option_sigma,call_premium,call_units
2021,SLPI,2020-12-31,2021-12-31,252,126.89273629085734,26.892736290857343,5.212532648585433,98.52452164097049,False,0.0,,0,0.0,,,
2021,CPPI,2020-12-31,2021-12-31,252,109.39566935252694,9.395669352526937,2.4335186199935577,99.55735649229115,False,0.0,,251,134.65803930481067,,,
2021,TIPP,2020-12-31,2021-12-31,252,106.91208325620306,6.912083256203061,1.5276418194605568,99.55735649229115,False,0.0,,251,82.61561841501873,,,
2021,Variable m,2020-12-31,2021-12-31,252,112.945732342685,12.945732342685005,4.859866619457676,99.1147129845823,False,0.0,,208,559.5399698496437,,,
2021,OBPI (model),2020-12-31,2021-12-31,252,109.49537243109293,9.495372431092932,4.141911103275675,99.14656336378566,False,0.0,,0,,0.34751563663108054,13.794420386638159,0.7249307850358403
2022,Buy & Hold,2021-12-31,2022-12-30,251,80.55717576759594,-19.442824232404064,25.42509631902862,75.05024988565269,True,14.94975011434731,,0,0.0,,,
2022,SLPI,2021-12-31,2022-12-30,251,88.65590472873453,-11.344095271265473,11.90561569124542,88.65590472873453,True,1.3440952712654735,2022-02-23,1,88.65590472873453,,,
2022,CPPI,2021-12-31,2022-12-30,251,94.3843286709165,-5.615671329083497,6.498613313140089,93.68018220827624,False,0.0,,250,105.8736597785329,,,
2022,TIPP,2021-12-31,2022-12-30,251,94.48239020660061,-5.517609793399387,6.388870645244282,93.79013472864828,False,0.0,,250,103.84363111749181,,,
2022,Variable m,2021-12-31,2022-12-30,251,94.2525590403308,-5.7474409596692055,6.401056252458492,93.80917179431589,False,0.0,,250,177.55327077147084,,,
2022,OBPI (model),2021-12-31,2022-12-30,251,90.0,-10.0,10.5482471981038,90.0,False,0.0,,0,,0.13111735628943777,5.219926105605758,1.9157359314456288
2023,Buy & Hold,2022-12-30,2023-12-29,250,124.23049876285987,24.230498762859867,10.276620410724846,99.18218518036204,False,0.0,,0,0.0,,,
2023,SLPI,2022-12-30,2023-12-29,250,124.23049876285987,24.230498762859867,10.276620410724846,99.18218518036204,False,0.0,,0,0.0,,,
2023,CPPI,2022-12-30,2023-12-29,250,108.21710926812801,8.217109268128013,4.438685847127244,99.75045784534726,False,0.0,,249,126.97547469962765,,,
2023,TIPP,2022-12-30,2023-12-29,250,106.25637436648734,6.256374366487336,2.8612126857772258,99.75371026368943,False,0.0,,249,81.63084180955325,,,
2023,Variable m,2022-12-30,2023-12-29,250,110.93702914440992,10.93702914440992,8.341719693211635,99.68500136245086,False,0.0,,227,572.2050468768298,,,
2023,OBPI (model),2022-12-30,2023-12-29,250,115.25169413346656,15.251694133466557,11.078498311636874,99.09670009965333,False,0.0,,0,,0.24143956924871382,9.595593323279886,1.0421450412804576
2024,Buy & Hold,2023-12-29,2024-12-31,252,123.30900681994953,23.30900681994953,8.485142574816496,98.29868150437228,False,0.0,,0,0.0,,,
2024,SLPI,2023-12-29,2024-12-31,252,123.30900681994953,23.30900681994953,8.485142574816496,98.29868150437228,False,0.0,,0,0.0,,,
2024,CPPI,2023-12-29,2024-12-31,252,107.85877279018138,7.858772790181376,3.7170172043692995,99.49510312819616,False,0.0,,251,129.34203425908743,,,
2024,TIPP,2023-12-29,2024-12-31,252,106.08787851429426,6.08787851429426,2.4029373123866438,99.49510312819616,False,0.0,,251,75.30710571325812,,,
2024,Variable m,2023-12-29,2024-12-31,252,112.97757371942525,12.977573719425251,6.997211689023186,99.00656227345125,False,0.0,,196,558.2045163562586,,,
2024,OBPI (model),2023-12-29,2024-12-31,252,134.12340530463777,34.12340530463777,14.215478396352088,98.3071861743009,False,0.0,,0,,0.13197293322632964,5.282685381832842,1.8929766354040327
2025,Buy & Hold,2024-12-31,2025-12-31,250,116.38780406111908,16.387804061119084,18.90220779115093,84.71750178096892,True,5.282498219031083,,0,0.0,,,
2025,SLPI,2024-12-31,2025-12-31,250,86.26996257840091,-13.730037421599093,17.416078709015903,86.26996257840091,True,3.730037421599093,2025-04-04,1,86.26996257840092,,,
2025,CPPI,2024-12-31,2025-12-31,250,104.23164612063515,4.231646120635148,5.425593887993241,95.83626726342581,False,0.0,,249,111.94825343957115,,,
2025,TIPP,2024-12-31,2025-12-31,250,103.63220836120767,3.632208361207674,4.850769923520226,96.35967184220355,False,0.0,,249,87.5005489639421,,,
2025,Variable m,2024-12-31,2025-12-31,250,103.66857204828764,3.6685720482876434,6.4173233947985135,95.21442147350047,False,0.0,,249,443.11015800906296,,,
2025,OBPI (model),2024-12-31,2025-12-31,250,122.46573011505211,22.46573011505211,13.41523497182907,90.53777178742604,False,0.0,,0,,0.1266121925532293,5.047723862375491,1.9810909377467283
